0.003860 1.297540e+04  1.226816e+04 4.972097e+03
0.003880 1.304779e+04  1.233172e+04 4.997859e+03
0.003900 1.313401e+04  1.239529e+04 5.023621e+03
0.003920 1.320878e+04  1.245885e+04 5.049383e+03
0.003940 1.330680e+04  1.252242e+04 5.075145e+03
0.003960 1.339540e+04  1.258598e+04 5.100908e+03
0.003980 1.346818e+04  1.264955e+04 5.126670e+03
0.004000 1.354793e+04  1.271312e+04 5.152432e+03
0.004020 1.363270e+04  1.277668e+04 5.178194e+03
0.004040 1.373356e+04  1.284025e+04 5.203956e+03
0.004060 1.380416e+04  1.290381e+04 5.229718e+03
0.004080 1.389051e+04  1.296738e+04 5.255481e+03
0.004100 1.397948e+04  1.303094e+04 5.281243e+03
0.004120 1.406508e+04  1.309451e+04 5.307005e+03
0.004140 1.415750e+04  1.315808e+04 5.332767e+03
0.004160 1.423733e+04  1.322164e+04 5.358529e+03
0.004180 1.432452e+04  1.328521e+04 5.384291e+03
0.004200 1.439447e+04  1.334877e+04 5.410053e+03
0.004220 1.449196e+04  1.341234e+04 5.435816e+03
0.004240 1.459292e+04  1.347590e+04 5.461578e+03
0.004260 1.468494e+04  1.353947e+04 5.487340e+03
0.004280 1.476639e+04  1.360303e+04 5.513102e+03
0.004300 1.484454e+04  1.366660e+04 5.538864e+03
0.004320 1.493497e+04  1.373017e+04 5.564626e+03
0.004340 1.501597e+04  1.379373e+04 5.590389e+03
0.004360 1.511807e+04  1.385730e+04 5.616151e+03
0.004380 1.521297e+04  1.392086e+04 5.641913e+03
0.004400 1.529021e+04  1.398443e+04 5.667675e+03
0.004420 1.537453e+04  1.404799e+04 5.693437e+03
0.004440 1.546250e+04  1.411156e+04 5.719199e+03
0.004460 1.556757e+04  1.417512e+04 5.744962e+03
0.004480 1.564108e+04  1.423869e+04 5.770724e+03
0.004500 1.573185e+04  1.430226e+04 5.796486e+03
0.004520 1.582365e+04  1.436582e+04 5.822248e+03
0.004540 1.591339e+04  1.442939e+04 5.848010e+03
0.004560 1.600755e+04  1.449295e+04 5.873772e+03
0.004580 1.610316e+04  1.455652e+04 5.899534e+03
0.004600 1.619508e+04  1.462008e+04 5.925297e+03
0.004620 1.626716e+04  1.468365e+04 5.951059e+03
0.004640 1.635820e+04  1.474721e+04 5.976821e+03
0.004660 1.646124e+04  1.481078e+04 6.002583e+03
0.004680 1.655326e+04  1.487435e+04 6.028345e+03
0.004700 1.663951e+04  1.493791e+04 6.054107e+03
0.004720 1.671809e+04  1.500148e+04 6.079870e+03
0.004740 1.681197e+04  1.506504e+04 6.105632e+03
0.004760 1.689292e+04  1.512861e+04 6.131394e+03
0.004780 1.699751e+04  1.519217e+04 6.157156e+03
0.004800 1.709180e+04  1.525574e+04 6.182918e+03
0.004820 1.717190e+04  1.531930e+04 6.208680e+03
0.004840 1.725511e+04  1.538287e+04 6.234443e+03
0.004860 1.734658e+04  1.544644e+04 6.260205e+03
0.004880 1.745050e+04  1.551000e+04 6.285967e+03
0.004900 1.753704e+04  1.557357e+04 6.311729e+03
0.004920 1.763013e+04  1.563713e+04 6.337491e+03
0.004940 1.772262e+04  1.570070e+04 6.363253e+03
0.004960 1.780627e+04  1.576426e+04 6.389016e+03
0.004980 1.789973e+04  1.582783e+04 6.414778e+03
0.005000 1.799273e+04  1.589140e+04 6.440540e+03
0.005020 1.809247e+04  1.595496e+04 6.466302e+03
0.005040 1.816722e+04  1.601853e+04 6.492064e+03
0.005060 1.826328e+04  1.608209e+04 6.517826e+03
0.005080 1.836955e+04  1.614566e+04 6.543588e+03
0.005100 1.846228e+04  1.620922e+04 6.569351e+03
0.005120 1.855219e+04  1.627279e+04 6.595113e+03
0.005140 1.863734e+04  1.633635e+04 6.620875e+03
0.005160 1.873398e+04  1.639992e+04 6.646637e+03
0.005180 1.881998e+04  1.646349e+04 6.672399e+03
0.005200 1.892453e+04  1.652705e+04 6.698161e+03
0.005220 1.902306e+04  1.659062e+04 6.723924e+03
0.005240 1.910502e+04  1.665418e+04 6.749686e+03
0.005260 1.919612e+04  1.671775e+04 6.775448e+03
0.005280 1.929179e+04  1.678131e+04 6.801210e+03
0.005300 1.939509e+04  1.684488e+04 6.826972e+03
0.005320 1.948501e+04  1.690844e+04 6.852734e+03
0.005340 1.958724e+04  1.697201e+04 6.878497e+03
0.005360 1.968119e+04  1.703558e+04 6.904259e+03
