0.003500 6.566197e+03  4.938967e+03 2.001688e+03
0.003520 6.617804e+03  4.967190e+03 2.013126e+03
0.003540 6.654302e+03  4.995413e+03 2.024565e+03
0.003560 6.710738e+03  5.023635e+03 2.036003e+03
0.003580 6.757490e+03  5.051858e+03 2.047441e+03
0.003600 6.794373e+03  5.080081e+03 2.058879e+03
0.003620 6.843007e+03  5.108303e+03 2.070317e+03
0.003640 6.878149e+03  5.136526e+03 2.081756e+03
0.003660 6.905339e+03  5.164749e+03 2.093194e+03
0.003680 6.965704e+03  5.192971e+03 2.104632e+03
0.003700 7.009393e+03  5.221194e+03 2.116070e+03
0.003720 7.072607e+03  5.249417e+03 2.127508e+03
0.003740 7.123040e+03  5.277639e+03 2.138947e+03
0.003760 7.163515e+03  5.305862e+03 2.150385e+03
0.003780 7.218531e+03  5.334085e+03 2.161823e+03
0.003800 7.251344e+03  5.362307e+03 2.173261e+03
0.003820 7.280503e+03  5.390530e+03 2.184700e+03
0.003840 7.351341e+03  5.418753e+03 2.196138e+03
0.003860 7.390651e+03  5.446975e+03 2.207576e+03
0.003880 7.453189e+03  5.475198e+03 2.219014e+03
0.003900 7.503263e+03  5.503421e+03 2.230452e+03
0.003920 7.533074e+03  5.531644e+03 2.241891e+03
0.003940 7.586725e+03  5.559866e+03 2.253329e+03
0.003960 7.621318e+03  5.588089e+03 2.264767e+03
0.003980 7.678169e+03  5.616312e+03 2.276205e+03
0.004000 7.727758e+03  5.644534e+03 2.287644e+03
0.004020 7.768021e+03  5.672757e+03 2.299082e+03
0.004040 7.835839e+03  5.700980e+03 2.310520e+03
0.004060 7.882223e+03  5.729202e+03 2.321958e+03
0.004080 7.922280e+03  5.757425e+03 2.333396e+03
0.004100 7.978858e+03  5.785648e+03 2.344835e+03
