0.003320 3.949481e+03  2.631542e+03 1.066524e+03
0.003340 3.993945e+03  2.647394e+03 1.072949e+03
0.003360 4.021015e+03  2.663247e+03 1.079373e+03
0.003380 4.046909e+03  2.679100e+03 1.085798e+03
0.003400 4.069223e+03  2.694952e+03 1.092223e+03
0.003420 4.116235e+03  2.710805e+03 1.098648e+03
0.003440 4.129662e+03  2.726658e+03 1.105073e+03
0.003460 4.141334e+03  2.742510e+03 1.111498e+03
0.003480 4.176069e+03  2.758363e+03 1.117922e+03
0.003500 4.199259e+03  2.774216e+03 1.124347e+03
0.003520 4.226017e+03  2.790068e+03 1.130772e+03
0.003540 4.250612e+03  2.805921e+03 1.137197e+03
0.003560 4.299529e+03  2.821774e+03 1.143622e+03
0.003580 4.324778e+03  2.837626e+03 1.150047e+03
0.003600 4.351611e+03  2.853479e+03 1.156471e+03
0.003620 4.400760e+03  2.869332e+03 1.162896e+03
0.003640 4.419858e+03  2.885184e+03 1.169321e+03
0.003660 4.436818e+03  2.901037e+03 1.175746e+03
0.003680 4.450726e+03  2.916890e+03 1.182171e+03
0.003700 4.498980e+03  2.932742e+03 1.188596e+03
0.003720 4.524325e+03  2.948595e+03 1.195021e+03
0.003740 4.554277e+03  2.964448e+03 1.201445e+03
0.003760 4.602622e+03  2.980300e+03 1.207870e+03
0.003780 4.633514e+03  2.996153e+03 1.214295e+03
0.003800 4.662438e+03  3.012006e+03 1.220720e+03
0.003820 4.689285e+03  3.027858e+03 1.227145e+03
0.003840 4.740887e+03  3.043711e+03 1.233570e+03
0.003860 4.758196e+03  3.059564e+03 1.239994e+03
0.003880 4.772655e+03  3.075416e+03 1.246419e+03
0.003900 4.811767e+03  3.091269e+03 1.252844e+03
0.003920 4.837836e+03  3.107122e+03 1.259269e+03
0.003940 4.867698e+03  3.122974e+03 1.265694e+03
0.003960 4.893486e+03  3.138827e+03 1.272119e+03
0.003980 4.945998e+03  3.154680e+03 1.278543e+03
0.004000 4.971577e+03  3.170532e+03 1.284968e+03
0.004020 5.000099e+03  3.186385e+03 1.291393e+03
0.004040 5.050080e+03  3.202237e+03 1.297818e+03
0.004060 5.071169e+03  3.218090e+03 1.304243e+03
0.004080 5.088499e+03  3.233943e+03 1.310668e+03
0.004100 5.103922e+03  3.249795e+03 1.317092e+03
0.004120 5.153551e+03  3.265648e+03 1.323517e+03
0.004140 5.180229e+03  3.281501e+03 1.329942e+03
0.004160 5.210107e+03  3.297353e+03 1.336367e+03
0.004180 5.260585e+03  3.313206e+03 1.342792e+03
0.004200 5.291790e+03  3.329059e+03 1.349217e+03
0.004220 5.322427e+03  3.344911e+03 1.355642e+03
0.004240 5.349294e+03  3.360764e+03 1.362066e+03
0.004260 5.404026e+03  3.376617e+03 1.368491e+03
0.004280 5.421806e+03  3.392469e+03 1.374916e+03
0.004300 5.438719e+03  3.408322e+03 1.381341e+03
0.004320 5.479479e+03  3.424175e+03 1.387766e+03
0.004340 5.508372e+03  3.440027e+03 1.394191e+03
0.004360 5.538905e+03  3.455880e+03 1.400615e+03
0.004380 5.566385e+03  3.471733e+03 1.407040e+03
0.004400 5.620343e+03  3.487585e+03 1.413465e+03
0.004420 5.647376e+03  3.503438e+03 1.419890e+03
0.004440 5.675799e+03  3.519291e+03 1.426315e+03
0.004460 5.727860e+03  3.535143e+03 1.432740e+03
0.004480 5.759791e+03  3.550996e+03 1.439164e+03
0.004500 5.781765e+03  3.566849e+03 1.445589e+03
0.004520 5.795397e+03  3.582701e+03 1.452014e+03
0.004540 5.840471e+03  3.598554e+03 1.458439e+03
0.004560 5.864154e+03  3.614407e+03 1.464864e+03
0.004580 5.893260e+03  3.630259e+03 1.471289e+03
0.004600 5.945127e+03  3.646112e+03 1.477714e+03
0.004620 5.976354e+03  3.661965e+03 1.484138e+03
0.004640 6.006693e+03  3.677817e+03 1.490563e+03
0.004660 6.032264e+03  3.693670e+03 1.496988e+03
0.004680 6.087961e+03  3.709523e+03 1.503413e+03
0.004700 6.105263e+03  3.725375e+03 1.509838e+03
0.004720 6.122523e+03  3.741228e+03 1.516263e+03
0.004740 6.163606e+03  3.757081e+03 1.522687e+03
0.004760 6.192569e+03  3.772933e+03 1.529112e+03
0.004780 6.222510e+03  3.788786e+03 1.535537e+03
0.004800 6.248853e+03  3.804639e+03 1.541962e+03
0.004820 6.303198e+03  3.820491e+03 1.548387e+03
0.004840 6.329267e+03  3.836344e+03 1.554812e+03
0.004860 6.357367e+03  3.852197e+03 1.561236e+03
0.004880 6.409276e+03  3.868049e+03 1.567661e+03
0.004900 6.441147e+03  3.883902e+03 1.574086e+03
0.004920 6.462782e+03  3.899755e+03 1.580511e+03
0.004940 6.476484e+03  3.915607e+03 1.586936e+03
0.004960 6.522555e+03  3.931460e+03 1.593361e+03
0.004980 6.546265e+03  3.947313e+03 1.599786e+03
0.005000 6.574408e+03  3.963165e+03 1.606210e+03
0.005020 6.628951e+03  3.979018e+03 1.612635e+03
0.005040 6.657784e+03  3.994871e+03 1.619060e+03
0.005060 6.678652e+03  4.010723e+03 1.625485e+03
0.005080 6.699377e+03  4.026576e+03 1.631910e+03
0.005100 6.745696e+03  4.042429e+03 1.638335e+03
0.005120 6.759915e+03  4.058281e+03 1.644759e+03
0.005140 6.775400e+03  4.074134e+03 1.651184e+03
0.005160 6.805929e+03  4.089987e+03 1.657609e+03
0.005180 6.822305e+03  4.105839e+03 1.664034e+03
0.005200 6.843796e+03  4.121692e+03 1.670459e+03
0.005220 6.861868e+03  4.137544e+03 1.676884e+03
0.005240 6.907202e+03  4.153397e+03 1.683308e+03
0.005260 6.921757e+03  4.169250e+03 1.689733e+03
0.005280 6.993807e+03  4.185102e+03 1.696158e+03
0.005300 7.148687e+03  4.200955e+03 1.702583e+03
0.005320 7.294460e+03  4.216808e+03 1.709008e+03
0.005340 7.438011e+03  4.232660e+03 1.715433e+03
0.005360 7.539310e+03  4.248513e+03 1.721858e+03
0.005380 7.633093e+03  4.264366e+03 1.728282e+03
0.005400 7.716266e+03  4.280218e+03 1.734707e+03
0.005420 7.823481e+03  4.296071e+03 1.741132e+03
0.005440 7.937914e+03  4.311924e+03 1.747557e+03
0.005460 8.053891e+03  4.327776e+03 1.753982e+03
0.005480 8.134799e+03  4.343629e+03 1.760407e+03
0.005500 8.194378e+03  4.359482e+03 1.766831e+03
0.005520 8.281204e+03  4.375334e+03 1.773256e+03
0.005540 8.355774e+03  4.391187e+03 1.779681e+03
0.005560 8.424057e+03  4.407040e+03 1.786106e+03
0.005580 8.491970e+03  4.422892e+03 1.792531e+03
0.005600 8.559562e+03  4.438745e+03 1.798956e+03
0.005620 8.617382e+03  4.454598e+03 1.805380e+03
0.005640 8.648444e+03  4.470450e+03 1.811805e+03
0.005660 8.673688e+03  4.486303e+03 1.818230e+03
0.005680 8.716880e+03  4.502156e+03 1.824655e+03
0.005700 8.776739e+03  4.518008e+03 1.831080e+03
0.005720 8.835750e+03  4.533861e+03 1.837505e+03
0.005740 8.868540e+03  4.549714e+03 1.843929e+03
0.005760 8.903204e+03  4.565566e+03 1.850354e+03
0.005780 8.904666e+03  4.581419e+03 1.856779e+03
0.005800 8.930864e+03  4.597272e+03 1.863204e+03
0.005820 8.937154e+03  4.613124e+03 1.869629e+03
0.005840 8.950907e+03  4.628977e+03 1.876054e+03
0.005860 8.983843e+03  4.644830e+03 1.882479e+03
